Search_method Problem Max_evals Run Score
njp knapPI_11_20_1000_4 10000 0 1440
njp knapPI_11_20_1000_4 10000 1 1320
njp knapPI_11_20_1000_4 10000 2 1400
njp knapPI_11_20_1000_4 10000 3 1320
njp knapPI_11_20_1000_4 10000 4 1440
njp knapPI_11_20_1000_4 10000 5 1320
njp knapPI_11_20_1000_4 10000 6 1440
njp knapPI_11_20_1000_4 10000 7 1320
njp knapPI_11_20_1000_4 10000 8 1440
njp knapPI_11_20_1000_4 10000 9 1400
njp knapPI_11_20_1000_4 10000 10 1440
njp knapPI_11_20_1000_4 10000 11 1400
njp knapPI_11_20_1000_4 10000 12 1440
njp knapPI_11_20_1000_4 10000 13 1320
njp knapPI_11_20_1000_4 10000 14 1320
njp knapPI_11_20_1000_4 10000 15 1320
njp knapPI_11_20_1000_4 10000 16 1400
njp knapPI_11_20_1000_4 10000 17 1440
njp knapPI_11_20_1000_4 10000 18 1440
njp knapPI_11_20_1000_4 10000 19 1440
njp knapPI_11_20_1000_4 10000 20 1440
njp knapPI_11_20_1000_4 10000 21 1320
njp knapPI_11_20_1000_4 10000 22 1440
njp knapPI_11_20_1000_4 10000 23 1320
njp knapPI_11_20_1000_4 10000 24 1320
njp knapPI_11_20_1000_4 10000 25 1400
njp knapPI_11_20_1000_4 10000 26 1440
njp knapPI_11_20_1000_4 10000 27 1320
njp knapPI_11_20_1000_4 10000 28 1400
njp knapPI_11_20_1000_4 10000 29 1440
njp knapPI_13_20_1000_4 10000 0 907
njp knapPI_13_20_1000_4 10000 1 907
njp knapPI_13_20_1000_4 10000 2 907
njp knapPI_13_20_1000_4 10000 3 889
njp knapPI_13_20_1000_4 10000 4 889
njp knapPI_13_20_1000_4 10000 5 907
njp knapPI_13_20_1000_4 10000 6 907
njp knapPI_13_20_1000_4 10000 7 889
njp knapPI_13_20_1000_4 10000 8 907
njp knapPI_13_20_1000_4 10000 9 907
njp knapPI_13_20_1000_4 10000 10 907
njp knapPI_13_20_1000_4 10000 11 889
njp knapPI_13_20_1000_4 10000 12 907
njp knapPI_13_20_1000_4 10000 13 907
njp knapPI_13_20_1000_4 10000 14 907
njp knapPI_13_20_1000_4 10000 15 907
njp knapPI_13_20_1000_4 10000 16 907
njp knapPI_13_20_1000_4 10000 17 889
njp knapPI_13_20_1000_4 10000 18 907
njp knapPI_13_20_1000_4 10000 19 907
njp knapPI_13_20_1000_4 10000 20 907
njp knapPI_13_20_1000_4 10000 21 907
njp knapPI_13_20_1000_4 10000 22 907
njp knapPI_13_20_1000_4 10000 23 907
njp knapPI_13_20_1000_4 10000 24 907
njp knapPI_13_20_1000_4 10000 25 907
njp knapPI_13_20_1000_4 10000 26 907
njp knapPI_13_20_1000_4 10000 27 907
njp knapPI_13_20_1000_4 10000 28 889
njp knapPI_13_20_1000_4 10000 29 907
njp knapPI_16_20_1000_4 10000 0 2893
njp knapPI_16_20_1000_4 10000 1 2886
njp knapPI_16_20_1000_4 10000 2 2893
njp knapPI_16_20_1000_4 10000 3 2893
njp knapPI_16_20_1000_4 10000 4 2893
njp knapPI_16_20_1000_4 10000 5 2893
njp knapPI_16_20_1000_4 10000 6 2893
njp knapPI_16_20_1000_4 10000 7 2893
njp knapPI_16_20_1000_4 10000 8 2893
njp knapPI_16_20_1000_4 10000 9 2893
njp knapPI_16_20_1000_4 10000 10 2893
njp knapPI_16_20_1000_4 10000 11 2893
njp knapPI_16_20_1000_4 10000 12 2893
njp knapPI_16_20_1000_4 10000 13 2893
njp knapPI_16_20_1000_4 10000 14 2593
njp knapPI_16_20_1000_4 10000 15 2893
njp knapPI_16_20_1000_4 10000 16 2893
njp knapPI_16_20_1000_4 10000 17 2893
njp knapPI_16_20_1000_4 10000 18 2893
njp knapPI_16_20_1000_4 10000 19 2893
njp knapPI_16_20_1000_4 10000 20 2893
njp knapPI_16_20_1000_4 10000 21 2893
njp knapPI_16_20_1000_4 10000 22 2893
njp knapPI_16_20_1000_4 10000 23 2893
njp knapPI_16_20_1000_4 10000 24 2893
njp knapPI_16_20_1000_4 10000 25 2893
njp knapPI_16_20_1000_4 10000 26 2893
njp knapPI_16_20_1000_4 10000 27 2893
njp knapPI_16_20_1000_4 10000 28 2893
njp knapPI_16_20_1000_4 10000 29 2893
njp knapPI_11_200_1000_4 10000 0 5060
njp knapPI_11_200_1000_4 10000 1 5060
njp knapPI_11_200_1000_4 10000 2 4900
njp knapPI_11_200_1000_4 10000 3 4980
njp knapPI_11_200_1000_4 10000 4 5100
njp knapPI_11_200_1000_4 10000 5 4980
njp knapPI_11_200_1000_4 10000 6 5020
njp knapPI_11_200_1000_4 10000 7 4600
njp knapPI_11_200_1000_4 10000 8 5020
njp knapPI_11_200_1000_4 10000 9 4980
njp knapPI_11_200_1000_4 10000 10 4820
njp knapPI_11_200_1000_4 10000 11 4900
njp knapPI_11_200_1000_4 10000 12 4860
njp knapPI_11_200_1000_4 10000 13 4820
njp knapPI_11_200_1000_4 10000 14 4820
njp knapPI_11_200_1000_4 10000 15 5140
njp knapPI_11_200_1000_4 10000 16 4900
njp knapPI_11_200_1000_4 10000 17 4980
njp knapPI_11_200_1000_4 10000 18 5140
njp knapPI_11_200_1000_4 10000 19 5020
njp knapPI_11_200_1000_4 10000 20 5060
njp knapPI_11_200_1000_4 10000 21 4900
njp knapPI_11_200_1000_4 10000 22 4900
njp knapPI_11_200_1000_4 10000 23 4900
njp knapPI_11_200_1000_4 10000 24 4900
njp knapPI_11_200_1000_4 10000 25 5020
njp knapPI_11_200_1000_4 10000 26 4980
njp knapPI_11_200_1000_4 10000 27 5100
njp knapPI_11_200_1000_4 10000 28 4940
njp knapPI_11_200_1000_4 10000 29 5100
njp knapPI_13_200_1000_4 10000 0 3654
njp knapPI_13_200_1000_4 10000 1 3637
njp knapPI_13_200_1000_4 10000 2 3620
njp knapPI_13_200_1000_4 10000 3 3637
njp knapPI_13_200_1000_4 10000 4 3637
njp knapPI_13_200_1000_4 10000 5 3637
njp knapPI_13_200_1000_4 10000 6 3663
njp knapPI_13_200_1000_4 10000 7 3663
njp knapPI_13_200_1000_4 10000 8 3603
njp knapPI_13_200_1000_4 10000 9 3611
njp knapPI_13_200_1000_4 10000 10 3663
njp knapPI_13_200_1000_4 10000 11 3663
njp knapPI_13_200_1000_4 10000 12 3637
njp knapPI_13_200_1000_4 10000 13 3637
njp knapPI_13_200_1000_4 10000 14 3637
njp knapPI_13_200_1000_4 10000 15 3663
njp knapPI_13_200_1000_4 10000 16 3637
njp knapPI_13_200_1000_4 10000 17 3620
njp knapPI_13_200_1000_4 10000 18 3663
njp knapPI_13_200_1000_4 10000 19 3663
njp knapPI_13_200_1000_4 10000 20 3637
njp knapPI_13_200_1000_4 10000 21 3663
njp knapPI_13_200_1000_4 10000 22 3620
njp knapPI_13_200_1000_4 10000 23 3620
njp knapPI_13_200_1000_4 10000 24 3663
njp knapPI_13_200_1000_4 10000 25 3637
njp knapPI_13_200_1000_4 10000 26 3637
njp knapPI_13_200_1000_4 10000 27 3620
njp knapPI_13_200_1000_4 10000 28 3637
njp knapPI_13_200_1000_4 10000 29 3637
njp knapPI_16_200_1000_4 10000 0 14169
njp knapPI_16_200_1000_4 10000 1 12853
njp knapPI_16_200_1000_4 10000 2 12512
njp knapPI_16_200_1000_4 10000 3 13324
njp knapPI_16_200_1000_4 10000 4 11946
njp knapPI_16_200_1000_4 10000 5 13103
njp knapPI_16_200_1000_4 10000 6 13629
njp knapPI_16_200_1000_4 10000 7 12943
njp knapPI_16_200_1000_4 10000 8 13085
njp knapPI_16_200_1000_4 10000 9 13718
njp knapPI_16_200_1000_4 10000 10 13331
njp knapPI_16_200_1000_4 10000 11 13132
njp knapPI_16_200_1000_4 10000 12 12820
njp knapPI_16_200_1000_4 10000 13 12533
njp knapPI_16_200_1000_4 10000 14 12918
njp knapPI_16_200_1000_4 10000 15 13753
njp knapPI_16_200_1000_4 10000 16 13722
njp knapPI_16_200_1000_4 10000 17 13345
njp knapPI_16_200_1000_4 10000 18 13459
njp knapPI_16_200_1000_4 10000 19 12954
njp knapPI_16_200_1000_4 10000 20 12924
njp knapPI_16_200_1000_4 10000 21 13533
njp knapPI_16_200_1000_4 10000 22 13865
njp knapPI_16_200_1000_4 10000 23 12926
njp knapPI_16_200_1000_4 10000 24 13681
njp knapPI_16_200_1000_4 10000 25 14792
njp knapPI_16_200_1000_4 10000 26 12684
njp knapPI_16_200_1000_4 10000 27 13225
njp knapPI_16_200_1000_4 10000 28 12461
njp knapPI_16_200_1000_4 10000 29 13342
njc knapPI_11_20_1000_4 10000 0 1400
njc knapPI_11_20_1000_4 10000 1 1320
njc knapPI_11_20_1000_4 10000 2 1440
njc knapPI_11_20_1000_4 10000 3 1400
njc knapPI_11_20_1000_4 10000 4 0
njc knapPI_11_20_1000_4 10000 5 0
njc knapPI_11_20_1000_4 10000 6 0
njc knapPI_11_20_1000_4 10000 7 0
njc knapPI_11_20_1000_4 10000 8 0
njc knapPI_11_20_1000_4 10000 9 1320
njc knapPI_11_20_1000_4 10000 10 1440
njc knapPI_11_20_1000_4 10000 11 0
njc knapPI_11_20_1000_4 10000 12 0
njc knapPI_11_20_1000_4 10000 13 1320
